,image,labelname,labelnumber,pct,filename
77,cards\Rorschach_blot_08.jpg,artichoke,7,2.46,densenet121
78,cards\Rorschach_blot_08.jpg,leaf_beetle,8,2.39,densenet121
79,cards\Rorschach_blot_08.jpg,fountain,9,2.36,densenet121
80,cards\Rorschach_blot_09.jpg,missile,0,29.87,densenet121
81,cards\Rorschach_blot_09.jpg,conch,1,15.7,densenet121
82,cards\Rorschach_blot_09.jpg,space_shuttle,2,9.1,densenet121
83,cards\Rorschach_blot_09.jpg,aircraft_carrier,3,5.28,densenet121
84,cards\Rorschach_blot_09.jpg,trifle,4,4.43,densenet121
85,cards\Rorschach_blot_09.jpg,projectile,5,4.13,densenet121
86,cards\Rorschach_blot_09.jpg,parachute,6,3.69,densenet121
87,cards\Rorschach_blot_09.jpg,wreck,7,3.24,densenet121
88,cards\Rorschach_blot_09.jpg,warplane,8,3.07,densenet121
89,cards\Rorschach_blot_09.jpg,ice_cream,9,2.58,densenet121
90,cards\Rorschach_blot_10.jpg,rapeseed,0,15.95,densenet121
91,cards\Rorschach_blot_10.jpg,plate,1,12.77,densenet121
92,cards\Rorschach_blot_10.jpg,wine_bottle,2,10.91,densenet121
93,cards\Rorschach_blot_10.jpg,missile,3,8.4,densenet121
94,cards\Rorschach_blot_10.jpg,vase,4,5.24,densenet121
95,cards\Rorschach_blot_10.jpg,spaghetti_squash,5,3.57,densenet121
96,cards\Rorschach_blot_10.jpg,feather_boa,6,2.51,densenet121
97,cards\Rorschach_blot_10.jpg,projectile,7,2.37,densenet121
98,cards\Rorschach_blot_10.jpg,hip,8,1.9,densenet121
99,cards\Rorschach_blot_10.jpg,tray,9,1.42,densenet121
0,cards\Rorschach_blot_01.jpg,buckeye,0,28.95,densenet169
1,cards\Rorschach_blot_01.jpg,pot,1,11.2,densenet169
2,cards\Rorschach_blot_01.jpg,coral_fungus,2,7.28,densenet169
3,cards\Rorschach_blot_01.jpg,acorn,3,6.8,densenet169
4,cards\Rorschach_blot_01.jpg,wall_clock,4,6.61,densenet169
5,cards\Rorschach_blot_01.jpg,paper_towel,5,4.33,densenet169
6,cards\Rorschach_blot_01.jpg,conch,6,4.26,densenet169
7,cards\Rorschach_blot_01.jpg,vase,7,3.79,densenet169
8,cards\Rorschach_blot_01.jpg,space_shuttle,8,2.33,densenet169
9,cards\Rorschach_blot_01.jpg,missile,9,2.3,densenet169
10,cards\Rorschach_blot_02.jpg,velvet,0,43.84,densenet169
11,cards\Rorschach_blot_02.jpg,candle,1,9.11,densenet169
12,cards\Rorschach_blot_02.jpg,hair_slide,2,4.14,densenet169
13,cards\Rorschach_blot_02.jpg,brassiere,3,4.07,densenet169
14,cards\Rorschach_blot_02.jpg,fur_coat,4,2.89,densenet169
15,cards\Rorschach_blot_02.jpg,macaw,5,2.54,densenet169
16,cards\Rorschach_blot_02.jpg,wool,6,2.43,densenet169
17,cards\Rorschach_blot_02.jpg,parachute,7,2.09,densenet169
18,cards\Rorschach_blot_02.jpg,wall_clock,8,1.51,densenet169
19,cards\Rorschach_blot_02.jpg,handkerchief,9,1.43,densenet169
20,cards\Rorschach_blot_03.jpg,book_jacket,0,20.11,densenet169
21,cards\Rorschach_blot_03.jpg,African_grey,1,18.89,densenet169
22,cards\Rorschach_blot_03.jpg,Great_Dane,2,4.97,densenet169
23,cards\Rorschach_blot_03.jpg,candle,3,4.76,densenet169
24,cards\Rorschach_blot_03.jpg,tray,4,4.35,densenet169
25,cards\Rorschach_blot_03.jpg,red_wine,5,3.68,densenet169
26,cards\Rorschach_blot_03.jpg,handkerchief,6,2.8,densenet169
27,cards\Rorschach_blot_03.jpg,ruddy_turnstone,7,2.54,densenet169
28,cards\Rorschach_blot_03.jpg,hummingbird,8,2.53,densenet169
29,cards\Rorschach_blot_03.jpg,comic_book,9,2.47,densenet169
30,cards\Rorschach_blot_04.jpg,space_shuttle,0,32.72,densenet169
31,cards\Rorschach_blot_04.jpg,volcano,1,13.41,densenet169
32,cards\Rorschach_blot_04.jpg,coral_fungus,2,8.72,densenet169
33,cards\Rorschach_blot_04.jpg,rock_crab,3,7.41,densenet169
34,cards\Rorschach_blot_04.jpg,king_crab,4,3.98,densenet169
35,cards\Rorschach_blot_04.jpg,hermit_crab,5,2.96,densenet169
36,cards\Rorschach_blot_04.jpg,warplane,6,2.95,densenet169
37,cards\Rorschach_blot_04.jpg,parachute,7,2.58,densenet169
38,cards\Rorschach_blot_04.jpg,candle,8,2.52,densenet169
39,cards\Rorschach_blot_04.jpg,scorpion,9,2.47,densenet169
40,cards\Rorschach_blot_05.jpg,hip,0,26.32,densenet169
41,cards\Rorschach_blot_05.jpg,wall_clock,1,10.97,densenet169
42,cards\Rorschach_blot_05.jpg,warplane,2,7.14,densenet169
43,cards\Rorschach_blot_05.jpg,isopod,3,6.51,densenet169
44,cards\Rorschach_blot_05.jpg,volcano,4,4.43,densenet169
45,cards\Rorschach_blot_05.jpg,tick,5,4.22,densenet169
46,cards\Rorschach_blot_05.jpg,missile,6,3.87,densenet169
47,cards\Rorschach_blot_05.jpg,space_shuttle,7,3.81,densenet169
48,cards\Rorschach_blot_05.jpg,airship,8,3.27,densenet169
49,cards\Rorschach_blot_05.jpg,American_alligator,9,1.96,densenet169
50,cards\Rorschach_blot_06.jpg,space_shuttle,0,54.31,densenet169
51,cards\Rorschach_blot_06.jpg,missile,1,28.02,densenet169
52,cards\Rorschach_blot_06.jpg,projectile,2,8.04,densenet169
53,cards\Rorschach_blot_06.jpg,warplane,3,7.44,densenet169
54,cards\Rorschach_blot_06.jpg,wall_clock,4,0.74,densenet169
55,cards\Rorschach_blot_06.jpg,aircraft_carrier,5,0.4,densenet169
56,cards\Rorschach_blot_06.jpg,airship,6,0.32,densenet169
57,cards\Rorschach_blot_06.jpg,tiger_shark,7,0.21,densenet169
58,cards\Rorschach_blot_06.jpg,wing,8,0.11,densenet169
59,cards\Rorschach_blot_06.jpg,airliner,9,0.09,densenet169
60,cards\Rorschach_blot_07.jpg,missile,0,87.45,densenet169
61,cards\Rorschach_blot_07.jpg,projectile,1,10.88,densenet169
62,cards\Rorschach_blot_07.jpg,necklace,2,0.82,densenet169
63,cards\Rorschach_blot_07.jpg,space_shuttle,3,0.69,densenet169
64,cards\Rorschach_blot_07.jpg,volcano,4,0.06,densenet169
65,cards\Rorschach_blot_07.jpg,warplane,5,0.03,densenet169
66,cards\Rorschach_blot_07.jpg,steam_locomotive,6,0.02,densenet169
67,cards\Rorschach_blot_07.jpg,cannon,7,0.02,densenet169
68,cards\Rorschach_blot_07.jpg,airship,8,0.01,densenet169
69,cards\Rorschach_blot_07.jpg,parachute,9,0.01,densenet169
70,cards\Rorschach_blot_08.jpg,pencil_sharpener,0,31.56,densenet169
71,cards\Rorschach_blot_08.jpg,volcano,1,20.28,densenet169
72,cards\Rorschach_blot_08.jpg,hip,2,10.41,densenet169
73,cards\Rorschach_blot_08.jpg,parachute,3,3.82,densenet169
74,cards\Rorschach_blot_08.jpg,paintbrush,4,3.55,densenet169
75,cards\Rorschach_blot_08.jpg,lipstick,5,2.05,densenet169
76,cards\Rorschach_blot_08.jpg,admiral,6,1.9,densenet169
77,cards\Rorschach_blot_08.jpg,alp,7,1.63,densenet169
78,cards\Rorschach_blot_08.jpg,pomegranate,8,1.55,densenet169
79,cards\Rorschach_blot_08.jpg,mosquito_net,9,1.27,densenet169
80,cards\Rorschach_blot_09.jpg,missile,0,32.27,densenet169
81,cards\Rorschach_blot_09.jpg,jellyfish,1,13.29,densenet169
82,cards\Rorschach_blot_09.jpg,volcano,2,11.91,densenet169
83,cards\Rorschach_blot_09.jpg,vase,3,8.76,densenet169
84,cards\Rorschach_blot_09.jpg,projectile,4,3.36,densenet169
85,cards\Rorschach_blot_09.jpg,pencil_sharpener,5,3.2,densenet169
86,cards\Rorschach_blot_09.jpg,fountain,6,3.03,densenet169
87,cards\Rorschach_blot_09.jpg,spoonbill,7,2.8,densenet169
88,cards\Rorschach_blot_09.jpg,warplane,8,2.33,densenet169
89,cards\Rorschach_blot_09.jpg,conch,9,1.81,densenet169
90,cards\Rorschach_blot_10.jpg,feather_boa,0,60.34,densenet169
91,cards\Rorschach_blot_10.jpg,missile,1,14.64,densenet169
92,cards\Rorschach_blot_10.jpg,candle,2,5.4,densenet169
93,cards\Rorschach_blot_10.jpg,projectile,3,3.41,densenet169
94,cards\Rorschach_blot_10.jpg,vase,4,1.58,densenet169
95,cards\Rorschach_blot_10.jpg,parachute,5,1.43,densenet169
96,cards\Rorschach_blot_10.jpg,warplane,6,1.42,densenet169
97,cards\Rorschach_blot_10.jpg,space_shuttle,7,1.21,densenet169
98,cards\Rorschach_blot_10.jpg,trifle,8,0.87,densenet169
99,cards\Rorschach_blot_10.jpg,handkerchief,9,0.67,densenet169
0,cards\Rorschach_blot_01.jpg,warplane,0,18.56,densenet201
1,cards\Rorschach_blot_01.jpg,airship,1,18.45,densenet201
2,cards\Rorschach_blot_01.jpg,coral_fungus,2,6.56,densenet201
3,cards\Rorschach_blot_01.jpg,cuirass,3,5.4,densenet201
4,cards\Rorschach_blot_01.jpg,hummingbird,4,5.14,densenet201
5,cards\Rorschach_blot_01.jpg,fire_screen,5,4.96,densenet201
6,cards\Rorschach_blot_01.jpg,vase,6,4.07,densenet201
7,cards\Rorschach_blot_01.jpg,breastplate,7,3.52,densenet201
8,cards\Rorschach_blot_01.jpg,fountain,8,3.23,densenet201
9,cards\Rorschach_blot_01.jpg,house_finch,9,2.93,densenet201
10,cards\Rorschach_blot_02.jpg,candle,0,21.84,densenet201
11,cards\Rorschach_blot_02.jpg,hair_slide,1,10.81,densenet201
12,cards\Rorschach_blot_02.jpg,necklace,2,6.8,densenet201
13,cards\Rorschach_blot_02.jpg,volcano,3,6.57,densenet201
14,cards\Rorschach_blot_02.jpg,parachute,4,5.82,densenet201
15,cards\Rorschach_blot_02.jpg,space_shuttle,5,5.16,densenet201
16,cards\Rorschach_blot_02.jpg,chime,6,3.78,densenet201
17,cards\Rorschach_blot_02.jpg,red_wine,7,2.4,densenet201
18,cards\Rorschach_blot_02.jpg,syringe,8,2.03,densenet201
19,cards\Rorschach_blot_02.jpg,meat_loaf,9,1.93,densenet201
20,cards\Rorschach_blot_03.jpg,book_jacket,0,96.83,densenet201
21,cards\Rorschach_blot_03.jpg,tray,1,1.77,densenet201
22,cards\Rorschach_blot_03.jpg,vase,2,0.36,densenet201
23,cards\Rorschach_blot_03.jpg,envelope,3,0.28,densenet201
24,cards\Rorschach_blot_03.jpg,comic_book,4,0.24,densenet201
25,cards\Rorschach_blot_03.jpg,paintbrush,5,0.08,densenet201
26,cards\Rorschach_blot_03.jpg,red_wine,6,0.08,densenet201
27,cards\Rorschach_blot_03.jpg,jersey,7,0.05,densenet201
28,cards\Rorschach_blot_03.jpg,parachute,8,0.03,densenet201
29,cards\Rorschach_blot_03.jpg,ski,9,0.02,densenet201
30,cards\Rorschach_blot_04.jpg,pitcher,0,28.28,densenet201
31,cards\Rorschach_blot_04.jpg,vase,1,20.73,densenet201
32,cards\Rorschach_blot_04.jpg,airship,2,7.27,densenet201
33,cards\Rorschach_blot_04.jpg,volcano,3,5.97,densenet201
34,cards\Rorschach_blot_04.jpg,coral_fungus,4,4.85,densenet201
35,cards\Rorschach_blot_04.jpg,space_shuttle,5,3.59,densenet201
36,cards\Rorschach_blot_04.jpg,warthog,6,2.02,densenet201
37,cards\Rorschach_blot_04.jpg,hen-of-the-woods,7,1.87,densenet201
38,cards\Rorschach_blot_04.jpg,cauliflower,8,1.84,densenet201
39,cards\Rorschach_blot_04.jpg,cliff,9,1.36,densenet201
40,cards\Rorschach_blot_05.jpg,isopod,0,38.56,densenet201
41,cards\Rorschach_blot_05.jpg,ground_beetle,1,16.65,densenet201
42,cards\Rorschach_blot_05.jpg,airship,2,6.77,densenet201
43,cards\Rorschach_blot_05.jpg,hyena,3,6.62,densenet201
44,cards\Rorschach_blot_05.jpg,black_grouse,4,5.56,densenet201
45,cards\Rorschach_blot_05.jpg,fire_screen,5,2.68,densenet201
46,cards\Rorschach_blot_05.jpg,common_newt,6,1.93,densenet201
47,cards\Rorschach_blot_05.jpg,parachute,7,1.47,densenet201
48,cards\Rorschach_blot_05.jpg,long-horned_beetle,8,1.36,densenet201
49,cards\Rorschach_blot_05.jpg,black_stork,9,1.07,densenet201
50,cards\Rorschach_blot_06.jpg,airship,0,57.73,densenet201
51,cards\Rorschach_blot_06.jpg,wardrobe,1,7.27,densenet201
52,cards\Rorschach_blot_06.jpg,hook,2,5.25,densenet201
53,cards\Rorschach_blot_06.jpg,coho,3,5.23,densenet201
54,cards\Rorschach_blot_06.jpg,flagpole,4,1.79,densenet201
55,cards\Rorschach_blot_06.jpg,paper_towel,5,1.57,densenet201
56,cards\Rorschach_blot_06.jpg,coral_fungus,6,1.06,densenet201
57,cards\Rorschach_blot_06.jpg,long-horned_beetle,7,1.02,densenet201
58,cards\Rorschach_blot_06.jpg,fire_screen,8,0.96,densenet201
59,cards\Rorschach_blot_06.jpg,wall_clock,9,0.76,densenet201
60,cards\Rorschach_blot_07.jpg,parachute,0,27.22,densenet201
61,cards\Rorschach_blot_07.jpg,airship,1,17.8,densenet201
